episodes,scores,epsilon
77,-1.2000000476837158,0.6797938283326578
78,2.099999964237213,0.6763948591909945
79,-0.6000000238418579,0.6730128848950395
80,-0.6000000238418579,0.6696478204705644
81,0.3999999761581421,0.6662995813682115
82,0.0,0.6629680834613705
83,2.399999976158142,0.6596532430440636
84,2.399999976158142,0.6563549768288433
85,-0.9000000357627869,0.653073201944699
86,1.0,0.6498078359349755
87,1.399999976158142,0.6465587967553006
88,0.699999988079071,0.6433260027715241
89,1.4999999403953552,0.6401093727576664
90,0.09999996423721313,0.6369088258938781
91,2.399999976158142,0.6337242817644086
92,9.0,0.6305556603555866
93,-0.9000000357627869,0.6274028820538087
94,1.0,0.6242658676435396
95,-0.30000001192092896,0.6211445383053219
96,2.699999988079071,0.6180388156137953
97,1.0,0.6149486215357263
98,1.0,0.6118738784280476
99,2.0,0.6088145090359074
100,0.0,0.6057704364907278
101,0.0,0.6027415843082742
102,1.0,0.5997278763867329
103,1.399999976158142,0.5967292370047992
104,4.699999988079071,0.5937455908197752
105,1.399999976158142,0.5907768628656763
106,1.699999988079071,0.5878229785513479
107,2.4999999403953552,0.5848838636585911
108,-0.9000000357627869,0.5819594443402982
109,-0.20000004768371582,0.5790496471185967
110,0.0,0.5761543988830038
111,4.0,0.5732736268885887
112,0.19999992847442627,0.5704072587541458
113,1.0,0.567555222460375
114,-0.8000000715255737,0.5647174463480732
115,2.399999976158142,0.5618938591163328
116,2.0,0.5590843898207511
117,-0.30000001192092896,0.5562889678716474
118,1.0,0.5535075230322891
119,0.0,0.5507399854171277
120,0.3999999761581421,0.547986285490042
121,4.699999988079071,0.5452463540625918
122,0.09999996423721313,0.5425201222922789
123,0.0,0.5398075216808175
124,0.0,0.5371084840724134
125,0.699999988079071,0.5344229416520513
126,0.699999988079071,0.531750826943791
127,0.699999988079071,0.5290920728090721
128,1.699999988079071,0.5264466124450268
129,0.0,0.5238143793828016
130,3.399999976158142,0.5211953074858876
131,1.0999999642372131,0.5185893309484582
132,3.4999999403953552,0.5159963842937159
133,1.7999999523162842,0.5134164023722473
134,2.099999964237213,0.510849320360386
135,1.0999999642372131,0.5082950737585841
136,4.799999952316284,0.5057535983897912
137,0.0,0.5032248303978422
138,1.699999988079071,0.500708706245853
139,-0.6000000238418579,0.4982051627146237
140,1.0,0.49571413690105054
141,1.0,0.4932355662165453
142,0.0,0.4907693883854626
143,1.0,0.4883155414435353
144,-1.8000000715255737,0.4858739637363176
145,3.699999988079071,0.483444593917636
146,2.4999999403953552,0.4810273709480478
147,2.699999988079071,0.47862223409330756
148,4.0,0.47622912292284103
149,2.699999988079071,0.4738479773082268
150,5.399999976158142,0.47147873742168567
151,3.099999964237213,0.46912134373457726
152,3.1999999284744263,0.46677573701590436
153,4.099999964237213,0.46444185833082485
154,2.099999964237213,0.46211964903917074
155,0.7999999523162842,0.4598090507939749
156,-0.20000004768371582,0.457510005540005
157,1.699999988079071,0.45522245551230495
158,3.799999952316284,0.4529463432347434
159,2.799999952316284,0.4506816115185697
160,-0.30000001192092896,0.4484282034609769
161,2.4999999403953552,0.446186062443672
162,7.699999988079071,0.4439551321314536
163,4.399999976158142,0.4417353564707963
164,2.0,0.43952667968844233
165,-0.30000001192092896,0.43732904629000013
166,1.7999999523162842,0.4351424010585501
167,2.399999976158142,0.43296668905325736
168,0.0,0.43080185560799106
169,2.1999999284744263,0.4286478463299511
170,4.799999952316284,0.42650460709830135
171,-1.1920928955078125e-07,0.42437208406280985
172,2.0,0.4222502236424958
173,-0.5000000596046448,0.42013897252428334
174,1.5999999046325684,0.4180382776616619
175,2.0,0.4159480862733536
176,-0.30000001192092896,0.41386834584198684
177,1.0,0.4117990041127769
178,0.7999999523162842,0.40974000909221303
179,1.0999999642372131,0.40769130904675194
180,2.399999976158142,0.40565285250151817
181,1.699999988079071,0.4036245882390106
182,0.699999988079071,0.4016064652978155
183,0.3999999761581421,0.3995984329713264
184,0.0,0.3976004408064698
185,0.0,0.39561243860243744
186,0.0,0.3936343764094253
187,4.399999976158142,0.39166620452737816
188,1.399999976158142,0.3897078735047413
189,4.399999976158142,0.3877593341372176
190,0.0,0.3858205374665315
191,0.0,0.38389143477919885
192,1.7999999523162842,0.3819719776053028
193,0.3999999761581421,0.3800621177172763
194,3.799999952316284,0.37816180712868996
195,-0.30000001192092896,0.37627099809304654
196,0.0,0.3743896431025813
197,0.0,0.37251769488706843
198,1.0999999642372131,0.3706551064126331
199,2.799999952316284,0.36880183088056995
200,0.3999999761581421,0.3669578217261671
201,3.099999964237213,0.36512303261753626
202,1.699999988079071,0.3632974174544486
203,0.0,0.3614809303671764
204,0.0,0.3596735257153405
205,2.399999976158142,0.3578751580867638
206,4.599999904632568,0.35608578229633
207,1.399999976158142,0.3543053533848483
208,1.0,0.35253382661792404
209,0.0,0.3507711574848344
210,2.399999976158142,0.34901730169741024
211,0.3999999761581421,0.3472722151889232
212,1.0,0.3455358541129786
213,-0.9000000357627869,0.3438081748424137
214,0.0,0.3420891339682016
